iter	Passed	Remaining
0	1	104
1	1	89
2	2	80
3	3	73
4	3	70
5	4	70
6	5	68
7	5	68
8	6	67
9	7	67
10	8	68
11	9	67
12	9	66
13	10	65
14	11	64
15	12	63
16	12	63
17	13	62
18	14	61
19	15	61
20	16	60
21	16	59
22	17	58
23	18	57
24	19	57
25	20	57
26	20	56
27	21	55
28	22	55
29	23	54
30	24	53
31	24	52
32	25	52
33	26	51
34	27	51
35	28	50
36	29	49
37	29	48
38	30	48
39	31	47
40	32	46
41	33	45
42	34	45
43	34	44
44	35	43
45	36	42
46	37	42
47	38	41
48	39	40
49	39	39
50	40	39
51	41	38
52	42	37
53	43	37
54	44	36
55	45	35
56	46	34
57	46	33
58	47	33
59	48	32
60	49	31
61	50	30
62	51	30
63	52	29
64	53	28
65	53	27
66	54	27
67	55	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	62	20
75	63	20
76	64	19
77	65	18
78	65	17
79	66	16
80	67	15
81	68	15
82	69	14
83	70	13
84	71	12
85	72	11
86	72	10
87	73	10
88	74	9
89	75	8
90	76	7
91	77	6
92	78	5
93	79	5
94	80	4
95	81	3
96	82	2
97	82	1
98	83	0
99	84	0
