iter	Passed	Remaining
0	142	142813
1	143	71817
2	144	48176
3	146	36375
4	147	29291
5	148	24561
6	149	21173
7	150	18631
8	151	16644
9	152	15059
10	153	13767
11	154	12696
12	155	11791
13	156	11034
14	157	10350
15	158	9758
16	159	9241
17	160	8780
18	162	8367
19	163	7997
20	164	7661
21	165	7358
22	166	7085
23	167	6829
24	168	6589
25	170	6369
26	171	6170
27	172	5990
28	173	5817
29	174	5655
30	175	5500
31	177	5364
32	178	5232
33	179	5106
34	180	4989
35	182	4877
36	183	4771
37	184	4672
38	185	4576
39	186	4483
40	187	4397
41	189	4314
42	190	4244
43	191	4169
44	193	4098
45	194	4034
46	195	3968
47	197	3907
48	198	3852
49	199	3796
50	201	3745
51	202	3692
52	203	3640
53	205	3595
54	206	3550
55	208	3511
56	209	3468
57	211	3427
58	212	3384
59	213	3343
60	214	3305
61	216	3274
62	217	3240
63	219	3208
64	220	3173
65	221	3139
66	223	3106
67	224	3077
68	225	3048
69	227	3022
70	228	2993
71	230	2964
72	231	2936
73	232	2907
74	233	2880
75	234	2856
76	236	2832
77	237	2809
78	239	2787
79	240	2761
80	241	2740
81	242	2718
82	243	2690
83	244	2668
84	246	2648
85	247	2627
86	248	2606
87	249	2587
88	250	2567
89	251	2547
90	253	2529
91	254	2511
92	255	2493
93	257	2478
94	258	2461
95	259	2445
96	260	2428
97	262	2412
98	263	2398
99	264	2383
100	266	2368
101	267	2353
102	268	2339
103	269	2324
104	271	2310
105	272	2298
106	273	2284
107	275	2272
108	276	2259
109	277	2246
110	279	2235
111	280	2222
112	281	2211
113	283	2200
114	284	2189
115	286	2179
116	287	2166
117	288	2154
118	289	2145
119	290	2133
120	292	2126
121	294	2116
122	295	2106
123	296	2096
124	297	2085
125	299	2074
126	300	2062
127	301	2052
128	302	2042
129	304	2034
130	305	2025
131	306	2015
132	307	2007
133	309	1999
134	310	1991
135	312	1982
136	313	1973
137	314	1965
138	315	1956
139	317	1948
140	318	1940
141	319	1929
142	320	1921
143	321	1913
144	323	1905
145	324	1896
146	325	1889
147	326	1881
148	328	1875
149	329	1867
150	330	1860
151	332	1852
152	333	1845
153	334	1837
154	335	1830
155	337	1823
156	338	1816
157	339	1810
158	340	1803
159	342	1796
160	343	1788
161	344	1781
162	345	1775
163	347	1768
164	348	1763
165	349	1756
166	350	1749
167	351	1742
168	353	1737
169	354	1730
170	355	1725
171	357	1718
172	358	1713
173	359	1707
174	360	1701
175	362	1695
176	363	1688
177	364	1682
178	365	1678
179	367	1672
180	368	1667
181	369	1662
182	371	1656
183	372	1650
184	373	1644
185	374	1639
186	376	1635
187	377	1631
188	378	1626
189	380	1621
190	381	1616
191	382	1611
192	384	1606
193	385	1601
194	386	1596
195	388	1593
196	389	1588
197	391	1584
198	392	1579
199	393	1575
200	395	1570
201	396	1566
202	397	1562
203	399	1558
204	400	1553
205	401	1548
206	403	1543
207	404	1539
208	405	1534
209	407	1531
210	408	1526
211	409	1522
212	411	1518
213	412	1514
214	413	1509
215	414	1505
216	416	1501
217	417	1497
218	418	1492
219	419	1488
220	421	1484
221	422	1480
222	423	1476
223	425	1472
224	426	1468
225	427	1464
226	429	1461
227	430	1456
228	431	1452
229	432	1449
230	434	1444
231	435	1441
232	436	1437
233	437	1433
234	439	1429
235	440	1425
236	441	1422
237	442	1417
238	444	1415
239	445	1412
240	447	1408
241	448	1404
242	450	1401
243	451	1398
244	452	1394
245	453	1391
246	455	1387
247	456	1383
248	457	1379
249	458	1376
250	460	1373
251	461	1370
252	462	1366
253	464	1363
254	465	1359
255	466	1356
256	468	1353
257	469	1350
258	470	1347
259	472	1344
260	473	1340
261	474	1336
262	475	1333
263	477	1329
264	478	1326
265	479	1323
266	480	1319
267	481	1316
268	483	1313
269	484	1310
270	486	1307
271	487	1304
272	489	1302
273	490	1299
274	491	1296
275	492	1293
276	494	1290
277	495	1287
278	497	1284
279	498	1281
280	499	1278
281	501	1276
282	502	1273
283	503	1270
284	505	1267
285	506	1264
286	507	1261
287	509	1258
288	510	1255
289	511	1252
290	512	1249
291	514	1246
292	515	1243
293	516	1240
294	517	1237
295	519	1235
296	520	1232
297	521	1229
298	523	1227
299	524	1224
300	526	1222
301	527	1220
302	529	1217
303	530	1214
304	531	1211
305	532	1208
306	534	1206
307	535	1203
308	537	1201
309	538	1199
310	540	1196
311	541	1193
312	542	1191
313	544	1188
314	545	1186
315	546	1183
316	548	1180
317	549	1178
318	550	1175
319	551	1172
320	553	1170
321	554	1167
322	555	1165
323	557	1162
324	558	1160
325	560	1158
326	561	1156
327	563	1154
328	564	1151
329	565	1149
330	567	1146
331	568	1144
332	570	1141
333	571	1139
334	572	1137
335	574	1134
336	575	1132
337	576	1129
338	578	1127
339	579	1124
340	580	1122
341	581	1119
342	583	1117
343	584	1114
344	586	1112
345	587	1109
346	588	1107
347	589	1104
348	590	1101
349	591	1099
350	593	1097
351	594	1094
352	595	1091
353	596	1089
354	598	1086
355	599	1083
356	600	1081
357	601	1078
358	602	1076
359	604	1073
360	605	1071
361	606	1068
362	607	1066
363	608	1063
364	609	1061
365	611	1058
366	612	1056
367	613	1053
368	614	1051
369	616	1049
370	617	1046
371	618	1044
372	620	1042
373	621	1039
374	622	1037
375	623	1035
376	624	1032
377	625	1029
378	627	1027
379	628	1025
380	629	1022
381	631	1021
382	632	1018
383	633	1016
384	634	1013
385	635	1011
386	637	1009
387	638	1007
388	639	1004
389	640	1002
390	642	1000
391	643	997
392	644	995
393	645	992
394	646	990
395	647	988
396	649	986
397	650	983
398	651	981
399	652	979
400	654	977
401	655	975
402	656	972
403	657	970
404	659	968
405	660	966
406	661	964
407	662	961
408	664	959
409	665	957
410	666	954
411	667	952
412	668	950
413	669	948
414	671	946
415	672	943
416	673	941
417	674	939
418	675	937
419	677	935
420	678	933
421	679	930
422	680	928
423	682	926
424	683	924
425	684	922
426	685	920
427	687	918
428	688	916
429	689	914
430	690	911
431	691	909
432	692	907
433	694	905
434	695	903
435	696	901
436	697	898
437	698	896
438	700	894
439	701	892
440	702	890
441	703	888
442	704	886
443	706	884
444	707	882
445	708	880
446	709	877
447	711	876
448	712	873
449	713	871
450	714	869
451	715	867
452	717	865
453	718	864
454	719	862
455	721	860
456	722	858
457	723	856
458	724	854
459	726	852
460	727	850
461	728	848
462	730	846
463	731	845
464	732	843
465	734	841
466	735	839
467	736	837
468	737	835
469	739	833
470	740	831
471	741	829
472	742	827
473	743	825
474	745	823
475	746	821
476	747	819
477	748	817
478	750	816
479	752	814
480	753	813
481	754	811
482	755	809
483	757	807
484	758	805
485	759	803
486	761	801
487	762	800
488	763	798
489	765	796
490	766	794
491	767	792
492	768	790
493	770	788
494	771	786
495	772	785
496	773	783
497	774	781
498	776	779
499	777	777
500	778	775
501	779	773
502	781	771
503	782	769
504	783	767
505	784	765
506	785	763
507	786	761
508	788	760
509	789	758
510	790	756
511	791	754
512	792	752
513	793	750
514	794	748
515	795	746
516	797	744
517	798	742
518	799	741
519	800	739
520	801	737
521	803	735
522	804	733
523	805	731
524	806	729
525	807	727
526	809	726
527	810	724
528	811	722
529	812	720
530	813	718
531	814	716
532	816	715
533	817	713
534	818	711
535	819	709
536	820	707
537	822	706
538	823	704
539	824	702
540	826	700
541	827	699
542	828	697
543	829	695
544	831	694
545	832	692
546	833	690
547	834	688
548	835	686
549	836	684
550	838	683
551	839	681
552	840	679
553	842	678
554	843	676
555	844	674
556	846	673
557	847	671
558	848	669
559	850	667
560	851	666
561	852	664
562	853	662
563	854	660
564	855	658
565	857	657
566	858	655
567	859	653
568	860	652
569	861	650
570	862	648
571	863	646
572	865	645
573	866	643
574	868	641
575	869	639
576	870	638
577	871	636
578	872	634
579	873	632
580	875	631
581	877	629
582	878	628
583	879	626
584	881	624
585	882	623
586	883	621
587	884	619
588	885	617
589	886	616
590	888	614
591	889	612
592	890	611
593	891	609
594	892	607
595	894	606
596	895	604
597	896	602
598	897	601
599	899	599
600	900	597
601	901	596
602	902	594
603	904	592
604	905	591
605	906	589
606	908	587
607	909	586
608	910	584
609	912	583
610	913	581
611	914	579
612	915	578
613	916	576
614	918	574
615	919	573
616	921	571
617	922	570
618	924	568
619	925	567
620	926	565
621	927	563
622	928	562
623	929	560
624	931	558
625	932	557
626	933	555
627	934	553
628	936	552
629	937	550
630	938	548
631	939	547
632	941	545
633	942	544
634	943	542
635	944	540
636	945	539
637	947	537
638	948	535
639	949	534
640	950	532
641	951	530
642	952	529
643	954	527
644	955	526
645	957	524
646	958	522
647	959	521
648	960	519
649	962	518
650	963	516
651	965	515
652	966	513
653	967	512
654	969	510
655	970	508
656	971	507
657	972	505
658	974	504
659	975	502
660	976	500
661	977	499
662	979	497
